gene_id	gene_name	primary_state	structural_or_repair_caution	n_relevant_samples	relevant_effect_median	relevant_direction_consistency	boundary_slope_consistency	graph_edge_consistency	leave_one_out_direction_consistency	intended_score_correlation_median	detection_fraction_median	replicate_rule_pass	mouse_score_before_effect_percentile	mechanical_state_strength	immune_state_strength	scar_state_strength	effect_magnitude_percentile	mouse_spatial_score
ENSMUSG00000021610	Clptm1l	scar_repair_associated	False	3	0.18823887812502965	1.0	0.6666666666666666	1.0	1.0	0.46927303746056515	0.4756554307116105	True	27.482304891430054	0.0	0.08151565652597109	0.0883354301059018	0.8909994478188846	34.610300473981134
ENSMUSG00000025225	Nfkb2	scar_repair_associated	False	3	0.13154869537830974	1.0	1.0	1.0	1.0	0.34039542105003745	0.24760715771951727	True	28.042372526300223	0.0	0.04093252176952388	0.04477857355188286	0.8209828823854224	34.610235585383606
ENSMUSG00000020358	Hnrnpab	scar_repair_associated	False	3	0.21341996391350637	1.0	0.6666666666666666	1.0	1.0	0.44695540668306183	0.7505404236921747	True	27.348399106765036	0.0	0.08885790895668816	0.09538920676524562	0.9076753175041413	34.60980164679817
ENSMUSG00000061315	Naca	scar_repair_associated	False	3	0.21676384243893265	1.0	0.6666666666666666	1.0	1.0	0.4440876088896115	0.9744920017293558	True	27.331192320004334	0.0	0.09065441010171511	0.0962621364824301	0.9097736057426836	34.609381165945805
ENSMUSG00000000275	Trim25	scar_repair_associated	False	3	0.17202284940270993	1.0	1.0	1.0	1.0	0.2653977110106182	0.29255097794423635	True	27.59238626606371	0.0	0.04209709389541847	0.04565447047300351	0.8767531750414136	34.60641166639502
ENSMUSG00000031885	Cbfb	scar_repair_associated	False	3	0.1269257319515803	1.0	1.0	1.0	1.0	0.3515672231344561	0.2706441850410722	True	28.109403338806736	0.0	0.04189389449867859	0.044622927126525394	0.8120375483158476	34.60570372533352
ENSMUSG00000003039	Fam32a	scar_repair_associated	False	3	0.14578758110180573	1.0	1.0	1.0	1.0	0.31023466016922113	0.2961521833117164	True	27.861407961015328	0.0	0.04137209675738371	0.045228360680011466	0.8428492545554942	34.604201997459285
ENSMUSG00000057751	Megf6	scar_repair_associated	False	3	0.18298791561940478	1.0	1.0	1.0	1.0	0.34553193337882826	0.16271327507282562	True	27.513890726365354	0.0	0.05506493644370868	0.06322816826893482	0.8861402540033131	34.603012758391856
ENSMUSG00000028381	Ugcg	scar_repair_associated	False	3	0.1325543988834945	1.0	1.0	1.0	1.0	0.3351754376631999	0.27021184608733245	True	28.0110526259792	0.0	0.0406134931613238	0.044428978659957645	0.8234124792932082	34.59835246032487
ENSMUSG00000001128	Cfp	scar_repair_associated	False	3	0.21364377139830273	1.0	1.0	1.0	1.0	0.3042739327162056	0.16729088639200998	True	27.335006892177383	0.0	0.05799267931871158	0.06500623052368358	0.9078961899503037	34.59817641177981
ENSMUSG00000051747	Ttn	mechanical_adverse	False	6	1.2769174518848234	1.0	0.8333333333333334	1.0	1.0	0.21937143468034487	0.9360389331752947	True	26.649561941415406	0.28011921338834395	0.0	0.0	0.9934082977898411	34.59682832373414
ENSMUSG00000040415	Dtx3	scar_repair_associated	False	3	0.1251687678522499	1.0	1.0	1.0	1.0	0.35200816984816047	0.26092384519350814	True	28.112049019088964	0.0	0.04076964214546999	0.044060428893819746	0.8100496963003865	34.592446589492056
ENSMUSG00000035778	Ggta1	scar_repair_associated	False	3	0.14686936902590167	1.0	1.0	1.0	1.0	0.3056585456622013	0.20765709529754472	True	27.83395127397321	0.0	0.03987344890836348	0.04489187773878226	0.8447266703478741	34.5917646367562
ENSMUSG00000037235	Mxd4	scar_repair_associated	False	3	0.19552569383995866	1.0	0.6666666666666666	1.0	1.0	0.4578820573809237	0.5205992509363296	True	27.413959010952205	0.0	0.0805246742948841	0.08952770696627287	0.8969630038652678	34.589663041874346
ENSMUSG00000061132	Blnk	scar_repair_associated	False	3	0.20731334792896372	1.0	1.0	1.0	1.0	0.39552563367283017	0.132334581772784	True	27.358172528628742	0.0	0.07264990123730848	0.08199774330843929	0.9039204859193816	34.589536415983794
