scenario	human_gene_name	mouse_component	human_component	pharmacology_component	penalty_component	scenario_score	scenario_rank	top10	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
primary	DYNC1H1	34.92318662951692	5.362987845287527	3.0	2.0	41.28617447480445	72	False	72.0	41-91	0.0
primary	HSPB7	36.68943150639182	10.705689178958828	5.571356912631749	12.0	40.9664775979824	73	False	73.0	58-78	0.0
primary	DMAP1	33.27431220026157	6.613317906387088	3.06208941558703	2.0	40.94971952223569	74	False	74.0	51-92	0.0
primary	MB	33.77651474837653	14.008568164983352	4.893273398342892	12.0	40.67835631170277	75	False	75.0	61-85	0.0
primary	GNG11	33.7889901713773	6.393834076025538	0.04434958256216422	0.0	40.227173829965	76	False	76.0	32-97	0.0
primary	NRBP1	34.820767800850454	5.386905291297036	2.0	2.0	40.20767309214749	77	False	77.0	48-95	0.0
primary	BGN	38.18319495707481	15.476927607202171	0.0	14.0	39.66012256427698	78	False	78.0	43-93	0.0
primary	AEBP1	38.975107108703796	14.349653117989407	0.23383179127724157	14.0	39.55859201797044	79	False	79.0	46-89	0.0
primary	MYOZ2	33.77845174270693	11.740953443310246	6.0	12.0	39.519405186017174	80	False	80.0	66-82	0.0
primary	THBS2	39.19078493827794	10.807426677741965	2.9527802188472454	14.0	38.95099183486715	81	False	81.0	59-90	0.0
primary	FBLN2	37.76392910916151	12.921602662326848	2.192970070235607	14.0	38.87850184172397	82	False	82.0	60-87	0.0
primary	FBLN1	37.87291719664806	13.000630576935329	1.4041392900611847	14.0	38.27768706364458	83	False	83.0	63-88	0.0
primary	FSTL1	37.508004569500194	13.775023681378507	0.9503446510206115	14.0	38.233372901899315	84	False	84.0	62-92	0.0
primary	SORBS2	36.01349892974574	9.942743305107754	3.599731083004312	12.0	37.555973317857806	85	False	85.0	72-87	0.0
primary	ITGB1	36.93772440390659	5.943079944022225	9.5	15.0	37.380804347928816	86	False	86.0	63-92	0.0
primary	SLC6A6	34.809477934037815	5.906400145258589	8.336859220772505	12.0	37.052737300068905	87	False	87.0	73-89	0.0
primary	CASQ2	34.2084394804805	12.400284238389922	2.252475699396435	12.0	36.86119941826686	88	False	88.0	75-91	0.0
primary	TGFBR2	36.07726659414027	7.810770907147257	5.5	13.0	36.38803750128753	89	False	89.0	73-90	0.0
primary	LOX	38.07302453560941	8.216561043764852	8.849266211611926	20.0	35.13885179098619	90	False	90.0	46-93	0.0
