candidate_gene	candidate_mouse_spatial_score	null_index	matched_mouse_gene	matched_mouse_spatial_score	detection_distance	effect_percentile_distance	seed
CD74	38.246395779255145	6	Ptma	36.99809678970503	0.05836575875486383	0.025400331308669255	20260711
CD74	38.246395779255145	7	Atp1b1	36.09075981215257	0.010516832170865409	0.013571151609150789	20260711
CD74	38.246395779255145	8	Ifi27l2a	35.20731926001887	0.06458042880899528	0.009466437177280573	20260711
CD74	38.246395779255145	9	Rrad	36.33995944047729	0.0636825833695992	0.018611865063978272	20260711
CD74	38.246395779255145	10	Ctsa	36.89789884501817	0.0778210116731517	0.017669795692987322	20260711
CD74	38.246395779255145	11	Pygm	33.20537375810406	0.04988887980748946	0.032958511050794836	20260711
CD74	38.246395779255145	12	Marcks	37.052440817086925	0.028102031993082588	0.029376035339591433	20260711
CD74	38.246395779255145	13	Tubb5	36.728038868147195	0.05334447375281548	0.009718387631142966	20260711
CD74	38.246395779255145	14	Pdhb	32.32445307323761	0.011218735084245757	0.068243505234587	20260711
CD74	38.246395779255145	15	Lyz2	38.94210293661576	0.09165585819282318	0.0	20260711
CD74	38.246395779255145	16	Pgam2	33.359065097202674	0.01019329113175138	0.024815820085304363	20260711
CD74	38.246395779255145	17	Rpl35	36.429289007397074	0.012970168612192023	0.032578685808945296	20260711
CD74	38.246395779255145	18	Serpinh1	37.86468831294222	0.06692185999666433	0.010601877415792327	20260711
CD74	38.246395779255145	19	Ldhb	32.57175708309111	0.0654634604075276	0.017060876308646722	20260711
CD74	38.246395779255145	20	Gnai2	35.67376219812977	0.012145971880156314	0.04218663721700722	20260711
CD74	38.246395779255145	21	Nppb	37.57532993764238	0.037158638082864015	0.0023264831329973257	20260711
CD74	38.246395779255145	22	Ctsl	37.256056688176216	0.07003891050583655	0.0065157371617891036	20260711
CD74	38.246395779255145	23	Obscn	33.54576123753169	0.04423642353117374	0.02597906165180297	20260711
CD74	38.246395779255145	24	Tagln2	36.49756573655968	0.06208354990762199	0.016675869685256806	20260711
CD74	38.246395779255145	25	Atp1a2	33.93169834975166	0.05228712547388825	0.03955021326095387	20260711
CD74	38.246395779255145	26	Cfh	32.08869002516686	0.05058365758754868	0.02827167310877965	20260711
CD74	38.246395779255145	27	H2-D1	36.850392453033685	0.06701253782965844	0.005742683600220899	20260711
CD74	38.246395779255145	28	Got1	33.154384113623586	0.0034844579630489703	0.03606048856145794	20260711
CD74	38.246395779255145	29	P4hb	37.18922449804845	0.013238963617138721	0.029044726670347853	20260711
CD74	38.246395779255145	30	Pfn1	36.17923975527224	0.006917423259835687	0.028492545554942073	20260711
COL6A2	37.11388253125003	1	Coq8a	33.061690066097825	0.008912413344270398	0.0400327282653018	20260711
COL6A2	37.11388253125003	2	S100a10	35.89201543319446	0.05072291283107533	0.02823403735633545	20260711
COL6A2	37.11388253125003	3	Akr1a1	36.6060089790145	0.04093294536174785	0.01233122123264696	20260711
COL6A2	37.11388253125003	4	Anxa2	37.14475626480875	0.0008322929671243928	0.012220785009565693	20260711
COL6A2	37.11388253125003	5	Pomp	27.42741570148574	0.014406440716937752	0.043889845094664315	20260711
COL6A2	37.11388253125003	6	Eif3f	35.67666643181959	0.043959318037925965	0.032320177610338785	20260711
COL6A2	37.11388253125003	7	Gnb2	35.893725383635015	0.034015522101912166	0.028454909802497874	20260711
COL6A2	37.11388253125003	8	Cd34	29.545391609351615	0.051741419205241224	0.008605851979345935	20260711
COL6A2	37.11388253125003	9	Itgb5	35.67831998868978	0.016645859342488523	0.06390493741155356	20260711
COL6A2	37.11388253125003	10	Rhob	32.94937767990812	0.0024547784789117344	0.06600322565009586	20260711
