human_gene_name	primary_state	mouse_spatial_score	human_support_score	pharmacology_score	repair_safety_penalty	final_priority_score	priority_tier	best_drug_name	best_drug_action	direction_match	best_pair_source_count
RPL13	scar_repair_associated	37.65958605429243	12.127447864391174	11.542132103434056	12.0	49.32916602211766	caution_protective	ELX-02	unknown	unknown	2
RPL13A	scar_repair_associated	37.7420342590863	12.023355649844657	11.54878454081838	12.0	49.31417444974934	caution_protective	ELX-02	unknown	unknown	2
ACTA1	mechanical_adverse	36.95945351433853	14.568816265911256	9.768616573857674	12.0	49.29688635410746	caution_protective	TIMBETASIN	unknown	unknown	1
TNNC1	mechanical_adverse	34.20368750243199	11.21007677752237	15.5	12.0	48.91376427995437	caution_protective	CHEMBL:CHEMBL1601846	unknown	unknown	1
ACTG1	scar_repair_associated	37.639664767812874	12.800326695385776	10.5	13.0	47.93999146319865	caution_protective	TIMBETASIN	unknown	unknown	1
IGFBP3	immune_fibrotic_adverse	32.63227153147795	9.700164786228802	5.406377223361061	0.0	47.73881354106781	tier_b	CELECOXIB	unknown	unknown	1
TPM1	mechanical_adverse	35.35677897104673	14.631472785196948	9.0	12.0	46.98825175624368	caution_protective		unknown	unknown	0
STK10	immune_fibrotic_adverse	33.7289289245147	7.451709332195413	5.5	0.0	46.68063825671011	tier_b	DDR1/2 INHIBITOR 5N	inhibit	matched	1
THBS4	mechanical_adverse	36.216896649547394	11.749075475472202	2.6136912421525555	4.0	46.57966336717215	tier_b	ARGIPRESSIN	unknown	unknown	1
DES	mechanical_adverse	37.64552808154198	13.219260379846258	7.5	12.0	46.36478846138824	caution_protective	TETRADECANOYLPHORBOL ACETATE	unknown	unknown	1
ANKRD1	mechanical_adverse	37.97316663317157	15.395017672303869	4.569697831738097	12.0	45.937882137213535	caution_protective		unknown	unknown	0
TTN	mechanical_adverse	34.59682832373414	12.646794657582872	10.5	12.0	45.74362298131701	caution_protective	PROTEASE INHIBITOR	unknown	unknown	1
TMSB4X	scar_repair_associated	37.96694556211271	12.30635963563354	5.289444744397804	10.0	45.56274994214406	tier_b	TIMBETASIN	unknown	unknown	1
EMP1	immune_fibrotic_adverse	36.75728514517308	6.852693510445908	1.5	0.0	45.10997865561899	tier_b	GEFITINIB	unknown	unknown	1
C1QA	scar_repair_associated	38.95967826083008	11.647832717063926	4.5	10.0	45.10751097789401	tier_b	THERAPEUTIC IMMUNE GLOBULIN	unknown	unknown	1
FLNC	mechanical_adverse	36.34879388844653	11.726612774717704	9.0	12.0	45.07540666316423	caution_protective		unknown	unknown	0
MYBPC3	mechanical_adverse	36.26427856240813	13.30964495883754	7.5	12.0	45.073923521245675	caution_protective	OMECAMTIV MECARBIL	unknown	unknown	1
IGFBP4	scar_repair_associated	38.61181952565766	11.119737853720371	4.984913797696352	10.0	44.71647117707438	tier_c	PREGNANT MARE SERUM GONADOTROPIN	unknown	unknown	1
DCN	immune_fibrotic_adverse	36.76487280797725	10.422086219062658	1.5	4.0	44.686959027039904	tier_c	RECOMBINANT INTERFERON	unknown	unknown	1
APOE	scar_repair_associated	39.37365229505947	10.716602113925005	10.5	16.0	44.59025440898448	caution_protective	AEM-28	unknown	unknown	1
CCR2	scar_repair_associated	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	CHEMBL:CHEMBL41275	unknown	unknown	1
SPARC	scar_repair_associated	38.24742147071093	17.289446726017196	2.523339371447697	14.0	44.06020756817583	caution_protective	PACLITAXEL PROTEIN-BOUND	unknown	unknown	1
SNX3	immune_fibrotic_adverse	34.89219551682361	5.187695907707295	3.8914266094995007	0.0	43.9713180340304	tier_c		unknown	unknown	0
LDB3	mechanical_adverse	34.222869361419846	12.653802299058448	9.0	12.0	43.876671660478294	caution_protective		unknown	unknown	0
CSRP3	mechanical_adverse	36.69185122056544	13.180763025527773	6.0	12.0	43.872614246093214	caution_protective		unknown	unknown	0
TIMP2	scar_repair_associated	38.94780311987984	11.612017321940527	4.176224986734419	11.0	43.73604542855478	tier_c		unknown	unknown	0
NELFB	immune_fibrotic_adverse	32.772981709053944	9.599153166513767	3.031044707793515	2.0	43.40317958336122	tier_c		unknown	unknown	0
NR2F2	immune_fibrotic_adverse	33.6508020525784	6.160607763568144	7.32903282806769	4.0	43.14044264421423	tier_c	PYRIDABEN	unknown	unknown	1
PSAP	scar_repair_associated	38.39131070917246	11.699219453483678	3.0	10.0	43.09053016265614	tier_c		unknown	unknown	0
ACTA2	scar_repair_associated	38.58170232617402	13.887258970111866	0.5327271857367166	10.0	43.0016884820226	tier_c		unknown	unknown	0
SEPTIN7	immune_fibrotic_adverse	33.680231888547844	6.018407513330097	3.2323917978489045	0.0	42.931031199726846	tier_c		unknown	unknown	0
HSPB1	mechanical_adverse	36.554304508452994	9.4951289302995	8.575507004710767	12.0	42.62494044346326	caution_protective	BENZENETHIOL	unknown	unknown	1
CILP	mechanical_adverse	36.32020344733499	9.121550915992344	0.9039923245587804	4.0	42.34574668788611	tier_c		unknown	unknown	0
ELOB	immune_fibrotic_adverse	35.013920989460004	5.292453496238932	4.035479666049731	2.0	42.34185415174867	tier_c		unknown	unknown	0
CYRIA	immune_fibrotic_adverse	32.500018606556004	9.831978226934169	0.0	0.0	42.33199683349017	tier_c		unknown	unknown	0
TGFBR1	scar_repair_associated	36.916774402522904	6.688833916422389	18.0	20.0	41.60560831894529	caution_protective	LY-2382770	unknown	unknown	1
